acronym,fullForm,definition
TPA,Teacher Performance Assessment,A Teacher Performance Assessment (TPA) is an evaluation for aspiring teachers to confirm they have the knowledge and skills for effective teaching. It uses a portfolio of their clinical practice including lesson plans video recordings of teaching and student work samples.
DIS,Designated Instructional Service,Category of related services provided to a student with disabilities. E.g. Speech OT PT APE etc.
FBA,Functional Behavior Assessment,Functional behavior assessments aim to identify the underlying reason for the behavior
IEP,Individualized Education Program,A written plan for students with disabilities that outlines special education services goals and accommodations
504,Section 504 Plan,A plan that provides accommodations and modifications for students with disabilities under Section 504 of the Rehabilitation Act
RTI,Response to Intervention,A multi-tier approach to identify and support students with learning and behavior needs
PBIS,Positive Behavioral Interventions and Supports,A framework for creating positive school environments and supporting student behavior
ELL,English Language Learner,Students who are learning English as a second language
ESL,English as a Second Language,Programs and instruction designed for non-native English speakers
FAPE,Free Appropriate Public Education,The right of students with disabilities to receive education at no cost that meets their individual needs
LRE,Least Restrictive Environment,Requirement that students with disabilities be educated with non-disabled peers to the maximum extent appropriate
BIP,Behavior Intervention Plan,A plan based on FBA results that includes positive strategies to address challenging behaviors
AT,Assistive Technology,Equipment or services used to increase maintain or improve functional capabilities of students with disabilities
OT,Occupational Therapy,Related service that helps students develop fine motor skills and daily living skills needed for school success
PT,Physical Therapy,Related service that addresses gross motor skills mobility and physical development needs
SLP,Speech Language Pathologist,Professional who provides speech and language therapy services
APE,Adaptive Physical Education,Modified physical education program designed to meet the needs of students with disabilities
MDT,Multidisciplinary Team,Team of professionals who evaluate and plan services for students with disabilities
LEA,Local Education Agency,The school district or other local administrative unit responsible for providing educational services
PWN,Prior Written Notice,Required written communication to parents explaining any proposed or refused changes to their child's identification, evaluation, educational placement, or FAPE provision
FERPA,Family Educational Rights and Privacy Act,Federal law protecting the privacy of student education records and giving parents rights to access and control disclosure of their child's records
ADA,Americans with Disabilities Act,Civil rights law prohibiting discrimination based on disability in public accommodations employment transportation and telecommunications
CAASPP,California Assessment of Student Performance & Progress,California's statewide assessment system measuring student progress toward mastering state standards in English language arts and mathematics
SELPA,Special Education Local Plan Area,Regional consortium of school districts that work together to provide special education services and ensure compliance with state and federal requirements
SAI,Specialized Academic Instruction,Specially designed instruction provided by qualified special education teachers to address the unique needs of students with disabilities
PECS,Picture Exchange Communication System,Alternative communication method using pictures that allows non-speaking individuals to initiate communication and make requests
AU,Autism,Developmental disability significantly affecting verbal and nonverbal communication and social interaction generally evident before age three
ID,Intellectual Disability,Significantly below-average intellectual functioning existing concurrently with deficits in adaptive behavior manifested during the developmental period
SLD,Specific Learning Disability,Disorder in one or more basic psychological processes involved in understanding or using language that affects ability to listen think speak read write spell or do math calculations
ED,Emotional Disturbance,Condition exhibiting one or more characteristics over a long period affecting educational performance: inability to learn build relationships inappropriate behavior/feelings or pervasive unhappiness
SLI,Speech/Language Impairment,Communication disorder such as stuttering impaired articulation language impairment or voice impairment that adversely affects educational performance
OHI,Other Health Impairment,Having limited strength vitality or alertness due to chronic or acute health problems that adversely affect educational performance
TBI,Traumatic Brain Injury,Acquired injury to the brain caused by external physical force resulting in total or partial functional disability or psychosocial impairment affecting educational performance
VI,Visual Impairment,Impairment in vision that even with correction adversely affects educational performance including both partial sight and blindness
DHH,Deaf/Hard of Hearing,Hearing impairment so severe that the child is impaired in processing linguistic information through hearing with or without amplification
AAC,Augmentative Alternative Communication,Methods and tools used to supplement or replace speech for individuals with communication impairments
COE,County Office of Education,Intermediate educational agency between the state and local school districts that provides support services and oversight
OAH,Office of Administrative Hearings,State agency that conducts impartial due process hearings for special education disputes between parents and school districts
ALJ,Administrative Law Judge,Impartial hearing officer who conducts due process hearings and makes binding decisions on special education disputes
ADOS,Autism Diagnostic Observation Schedule,Standardized assessment tool used to diagnose autism spectrum disorders through structured activities and observations
DTT,Discrete Trial Training,A method for teaching desired behaviors skills or tasks by breaking down the skill into small discrete steps that are taught in a highly structured and hierarchical manner with systematic rewards
CARS,Childhood Autism Rating Scale,Diagnostic tool used to identify children with autism and distinguish them from children with other developmental delays
PDA,Pathological Demand Avoidance,Profile of autism characterized by an extreme avoidance of everyday demands and expectations coupled with high levels of anxiety
SPD,Sensory Processing Disorder,Condition that affects how the nervous system receives and responds to sensory information often co-occurring with autism
1:1,One-to-One Aide,Individual aide assigned to provide dedicated support to a specific student
LVN,Licensed Vocational Nurse,School health professional who provides medical support and health-related services
RN,Registered Nurse,School health professional who supervises health services and provides complex medical care coordination
O&M,Orientation and Mobility Specialist,Professional who teaches travel skills and spatial awareness to students with visual impairments
NPA,Non-Public Agency,Private organization that provides special education services under contract with school districts
NPS,Non-Public School,Private school that serves students with disabilities under contract with school districts
BSP,Behavior Support Plan,Comprehensive plan that includes positive strategies to address challenging behaviors based on functional assessment
BCBA,Board Certified Behavior Analyst,Professional certified to provide behavior analysis services including assessment and intervention design
RBT,Registered Behavior Technician,Paraprofessional who practices under the supervision of a BCBA to implement behavior intervention plans
PLAAFP,Present Levels of Academic Achievement and Functional Performance,Section of the IEP that describes the student's current academic achievement and functional performance
ESY,Extended School Year,Special education services provided beyond the normal school year to prevent significant regression of skills
GE,General Education,Regular education classroom setting where students without disabilities typically receive instruction
SDC,Special Day Class,Self-contained special education classroom for students who need intensive support
RSP,Resource Specialist Program,Special education program providing support to students with disabilities in the general education setting
ABA,Applied Behavior Analysis,Therapy based on the science of learning and behavior that applies understanding of how behavior works to increase helpful behaviors and decrease harmful behaviors or those affecting learning
ADHD,Attention Deficit Hyperactivity Disorder,Neurodevelopmental disorder affecting attention span impulse control and activity level usually first diagnosed in childhood
ASD,Autism Spectrum Disorder,Developmental disability significantly affecting verbal and nonverbal communication and social interaction
ASL,American Sign Language,Visual language using hand gestures body language and facial expressions used by the deaf and hard of hearing community
BD,Behavior Disorder,Condition characterized by patterns of disruptive or problematic behaviors that interfere with learning and social interactions
CD,Cognitive Delay,Below-average intellectual functioning that affects a student's ability to learn and process information
DD,Developmental Delay,Condition where a child does not reach developmental milestones at the expected times in areas such as physical movement communication cognitive or social and emotional skills
DIBELS,Dynamic Indicators of Basic Early Literacy Skills,Standardized assessment tool used to measure early literacy skills and predict reading proficiency
DSM,Diagnostic and Statistical Manual of Mental Disorders,Handbook used by health care professionals as the authoritative guide to the diagnosis of mental disorders
EI,Early Intervention,Services and supports provided to infants and toddlers with developmental delays or disabilities and their families
HI,Hearing Impaired,Having partial or complete hearing loss that adversely affects educational performance
IDEA,Individuals with Disabilities Education Act,Federal law ensuring students with disabilities are provided with Free Appropriate Public Education tailored to their individual needs
LD,Learning Disability,Neurological condition that affects the brain's ability to receive process store and respond to information
ODD,Oppositional Defiant Disorder,Pattern of angry irritable mood argumentative defiant behavior or vindictiveness toward authority figures
PBS,Positive Behavior Supports,System of interventions designed to improve quality of life and reduce problem behaviors through teaching appropriate alternative behaviors
PDD,Pervasive Developmental Disorder,Group of disorders characterized by delays in the development of socialization and communication skills
TPR,Total Physical Response,Language teaching method that combines speech with physical movement where students respond to verbal commands with physical actions to reinforce learning and comprehension
SEIS,Special Education Information System,Database system used to manage and track special education student data services and compliance requirements